timestamp,corriente_ac_r,corriente_ac_s,corriente_ac_t,voltaje_ac_rs,voltaje_ac_st,voltaje_ac_tr,temp_sala_s01,temp_sala_s02
2025-01-01 00:00:00,60.157999999999994,62.8,60.738,217.55599999999998,215.61399999999998,221.164,22.5,23.4
2025-01-01 00:10:00,60.74666666666667,63.28666666666666,61.45666666666667,217.82666666666668,215.92666666666665,221.62333333333333,22.166666666666668,22.833333333333332
2025-01-01 00:20:00,61.04333333333333,63.836666666666666,61.70666666666667,218.00333333333333,215.98333333333335,221.6833333333333,22.833333333333332,23.833333333333332
2025-01-01 00:30:00,59.8075,62.4775,60.62,218.07750000000001,216.0575,221.8475,22.25,23.0
2025-01-01 00:40:00,63.629999999999995,65.77333333333333,63.876666666666665,218.36,216.28,222.04,22.833333333333332,23.666666666666668
2025-01-01 00:50:00,57.56666666666666,60.449999999999996,58.446666666666665,218.6,216.68999999999997,222.34,22.166666666666668,23.0
2025-01-01 01:00:00,61.8525,64.3825,62.47,218.48000000000002,216.5,222.245,22.625,23.5
2025-01-01 01:10:00,57.71666666666667,60.4,58.64333333333334,218.78,216.80666666666664,222.45333333333335,22.5,23.5
2025-01-01 01:20:00,66.02,68.01,65.60666666666667,218.12,216.16,221.98,22.5,23.333333333333332
2025-01-01 01:30:00,57.42,62.2525,60.2125,218.8375,216.8525,222.64499999999998,22.5,23.25
2025-01-01 01:40:00,60.15333333333333,62.839999999999996,60.96333333333334,218.65666666666667,216.75,222.63333333333333,22.333333333333332,22.833333333333332
2025-01-01 01:50:00,60.99666666666667,63.089999999999996,61.21,218.54,216.63333333333333,222.33666666666667,22.666666666666668,23.666666666666668
2025-01-01 02:00:00,61.78,64.31,62.324999999999996,218.08,216.1925,222.0275,22.25,23.0
2025-01-01 02:10:00,60.599999999999994,63.03666666666666,61.06333333333333,218.36333333333332,216.45666666666668,222.21666666666667,22.833333333333332,23.833333333333332
2025-01-01 02:20:00,60.35333333333333,62.79,60.913333333333334,218.48000000000002,216.51333333333332,222.39333333333332,22.166666666666668,22.833333333333332
2025-01-01 02:30:00,61.78,64.455,62.400000000000006,218.435,216.5,222.38,22.75,23.625
2025-01-01 02:40:00,57.370000000000005,60.156666666666666,58.49666666666667,218.78,216.86666666666667,222.68999999999997,22.166666666666668,23.0
2025-01-01 02:50:00,63.383333333333326,65.67333333333333,63.63333333333333,218.48000000000002,216.45666666666668,222.45666666666668,22.833333333333332,23.666666666666668
2025-01-01 03:00:00,59.4675,61.957499999999996,59.5475,218.9675,216.9375,222.78,22.375,23.25
2025-01-01 03:10:00,63.383333333333326,65.57666666666667,63.53333333333333,218.59666666666666,216.68999999999997,222.51333333333332,22.666666666666668,23.5
2025-01-01 03:20:00,57.370000000000005,60.156666666666666,58.346666666666664,219.01,217.1,222.87,22.333333333333332,23.166666666666668
2025-01-01 03:30:00,61.667500000000004,64.4925,63.325,218.745,216.8075,222.6475,22.625,23.375
2025-01-01 03:40:00,57.57,60.303333333333335,58.446666666666665,219.18999999999997,217.27333333333334,223.05000000000004,22.666666666666668,23.5
2025-01-01 03:50:00,63.13333333333333,65.13,63.18666666666667,218.59666666666666,216.8066666666667,222.6933333333333,22.5,23.166666666666668
2025-01-01 04:00:00,60.14,62.59,60.8425,219.0125,217.1575,222.95999999999998,22.625,23.75
2025-01-01 04:10:00,61.14666666666667,63.59,61.50666666666667,218.83333333333334,216.98000000000002,222.81333333333336,22.166666666666668,22.833333333333332
2025-01-01 04:20:00,57.419999999999995,60.153333333333336,58.49666666666667,219.25,217.33,223.11,22.666666666666668,23.833333333333332
2025-01-01 04:30:00,61.6325,63.895,61.9925,218.97,217.115,222.825,22.25,23.0
2025-01-01 04:40:00,61.04666666666666,63.53333333333334,61.56,219.01333333333332,217.16,222.99,22.833333333333332,24.166666666666668
2025-01-01 04:50:00,59.75333333333333,62.49666666666667,60.423333333333325,219.07333333333335,217.27666666666664,223.04999999999998,22.166666666666668,22.833333333333332
